Parti,Nombre de sièges,Nombre de voix,commune,date,election
Parti Populaire,,400,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,607,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,307,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,196,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,2292,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,1788,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,447,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,270,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,4076,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,86,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,72,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,207,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,52,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,201,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,51,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,27,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,106,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,75,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,30,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,22,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,4598,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,352,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,1069,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,2541,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,308,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,346,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,151,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,145,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,2415,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,2670,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,441,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,752,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,4232,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,139,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,225,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,483,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,61,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,280,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,49,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,32,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,140,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,112,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,24,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,34,Forest,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,1396,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,458,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,1364,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,1601,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,251,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,540,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,254,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,213,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,1084,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,1130,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,287,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,284,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,1845,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,81,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,41,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
