Parti,Nombre de sièges,Nombre de voix,canton,date,election
VLD-VU-O,,265,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
SP-AGA,,498,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
A,,11,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PSD,,17,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PH,,46,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
ZUT,,18,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PMTJ,,13,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
D.MARET,,76,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
ICB,,17,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
TARTE,,104,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
DD,,11,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
La G.P.,,17,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
BLOC WL,,17,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
MARS,,26,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
UDDU,,5,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,11409,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PRL-FDF,,28706,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BLOK,,1712,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
CVP,,2156,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PS,,7800,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PSC,,8367,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
VIVANT,,869,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
FN,,1082,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
FNB,,744,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PNPB*,,99,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PC,,384,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PTB-UA,,164,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
VLD-VU-O,,1526,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
SP-AGA,,1390,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
A,,153,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PSD,,66,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PH,,28,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
ZUT,,90,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
PMTJ,,9,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
D.MARET,,197,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
ICB,,29,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
TARTE,,259,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
DD,,41,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
La G.P.,,27,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
BLOC WL,,58,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
MARS,,82,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
UDDU,,58,Saint-Josse,1999,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,10928,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PRL-FDF,,16724,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BLOK,,2950,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
CVP,,1702,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PS,,10218,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PSC,,4474,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
VIVANT,,871,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
FN,,1549,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
FNB,,841,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PNPB*,,98,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PC,,495,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PTB-UA,,357,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
VLD-VU-O,,1720,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
SP-AGA,,1883,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
A,,98,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PSD,,136,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PH,,25,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
ZUT,,94,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
PMTJ,,35,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
D.MARET,,213,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
ICB,,49,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
TARTE,,206,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
DD,,28,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
La G.P.,,115,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
BLOC WL,,133,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
MARS,,111,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
UDDU,,51,Schaerbeek,1999,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,11287,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PRL-FDF,,25620,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BLOK,,1261,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
CVP,,1177,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PS,,8564,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PSC,,3966,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
VIVANT,,758,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
FN,,1067,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
FNB,,541,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PNPB*,,102,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PC,,395,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PTB-UA,,151,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
VLD-VU-O,,1043,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
SP-AGA,,900,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
A,,87,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PSD,,42,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PH,,22,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
ZUT,,72,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
PMTJ,,17,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
D.MARET,,180,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
ICB,,29,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
TARTE,,214,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
DD,,11,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
La G.P.,,33,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
BLOC WL,,47,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
MARS,,42,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
UDDU,,23,Uccle,1999,parlement-de-la-région-de-bruxelles-capitale
